TAG,Depositor,RANDOM1M,"1 Minus Random/10","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,Depositor,RANDOM1P,"1 Plus Random/10","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,Depositor,RANDOMP1,"Random /10","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,Depositor,Recipe_IdealCT,"","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,Depositor,Transfer_Gap,"Used for Separation of Machine function","TIMER","","(Constant := false, ExternalAccess := Read/Write)"
TAG,Depositor,Valve,"Valve Postion$NOFF>CLOSED$NON>OPEN","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Depositor,WD_Counter,"WatchDog Counter","COUNTER","","(Constant := false, ExternalAccess := Read/Write)"
TAG,Depositor,WD_HIST,"","Base_WD[10]","","(Constant := false, ExternalAccess := Read/Write)"
TAG,Depositor,Depositor_BearingTempAlarm,"Depositor Bearing Temperature Alarm","ALARM_DIGITAL","","(ExternalAccess := Read/Write, Severity := 500, MinDurationPRE := 0, ShelveDuration := 0, MaxShelveDuration := 0, ProgTime := ""DT#1969-12-31-16:00:00.000_000(UTC-08:00)"", EnableIn := false, In := false, InFault := false, Condition := true, AckRequired := true, Latched := false, ProgAck := false, OperAck := false, ProgReset := false, OperReset := false, ProgSuppress := false, OperSuppress := false, ProgUnsuppress := false, OperUnsuppress := false, OperShelve := false, ProgUnshelve := false, OperUnshelve := false, ProgDisable := false, OperDisable := false, ProgEnable := false, OperEnable := false, AlarmCountReset := false, UseProgTime := false, AssocTag1 := ""mInTemp"", AssocTag3 := ""AlarmRC[2]"", AssocTag4 := ""mMachineUDT.CRID"")"
ALMMSG:en-US,Depositor,Depositor_BearingTempAlarm,"Depositor HIGH Bearing Temperature detected",,"AM"
TAG,Depositor,Depositor_BearingVibAlarm,"Depositor Bearing Vibration Alarm","ALARM_DIGITAL","","(ExternalAccess := Read/Write, Severity := 500, MinDurationPRE := 0, ShelveDuration := 0, MaxShelveDuration := 0, ProgTime := ""DT#1969-12-31-16:00:00.000_000(UTC-08:00)"", EnableIn := false, In := false, InFault := false, Condition := true, AckRequired := true, Latched := false, ProgAck := false, OperAck := false, ProgReset := false, OperReset := false, ProgSuppress := false, OperSuppress := false, ProgUnsuppress := false, OperUnsuppress := false, OperShelve := false, ProgUnshelve := false, OperUnshelve := false, ProgDisable := false, OperDisable := false, ProgEnable := false, OperEnable := false, AlarmCountReset := false, UseProgTime := false, AssocTag1 := ""Depositor_BearingVibrationReading"", AssocTag3 := ""AlarmRC[3]"", AssocTag4 := ""mMachineUDT.CRID"")"
ALMMSG:en-US,Depositor,Depositor_BearingVibAlarm,"Depositor Bearing HIGH Vibration detected",,"AM"
TAG,Depositor,Depositor_DriveAlarm,"Depositor Main Drive fault Alarm","ALARM_DIGITAL","","(ExternalAccess := Read/Write, Severity := 500, MinDurationPRE := 0, ShelveDuration := 0, MaxShelveDuration := 0, ProgTime := ""DT#1969-12-31-16:00:00.000_000(UTC-08:00)"", EnableIn := false, In := false, InFault := false, Condition := true, AckRequired := true, Latched := false, ProgAck := false, OperAck := false, ProgReset := false, OperReset := false, ProgSuppress := false, OperSuppress := false, ProgUnsuppress := false, OperUnsuppress := false, OperShelve := false, ProgUnshelve := false, OperUnshelve := false, ProgDisable := false, OperDisable := false, ProgEnable := false, OperEnable := false, AlarmCountReset := false, UseProgTime := false, AssocTag3 := ""AlarmRC[4]"", AssocTag4 := ""mMachineUDT.CRID"")"
ALMMSG:en-US,Depositor,Depositor_DriveAlarm,"Depositor Main Drive FAULT Alarm",,"AM"
TAG,Depositor,Depositor_OverWeightAlarm,"Depositor Product OverWeight Alarm","ALARM_DIGITAL","","(ExternalAccess := Read/Write, Severity := 500, MinDurationPRE := 0, ShelveDuration := 0, MaxShelveDuration := 0, ProgTime := ""DT#1969-12-31-16:00:00.000_000(UTC-08:00)"", EnableIn := false, In := false, InFault := false, Condition := true, AckRequired := true, Latched := false, ProgAck := false, OperAck := false, ProgReset := false, OperReset := false, ProgSuppress := false, OperSuppress := false, ProgUnsuppress := false, OperUnsuppress := false, OperShelve := false, ProgUnshelve := false, OperUnshelve := false, ProgDisable := false, OperDisable := false, ProgEnable := false, OperEnable := false, AlarmCountReset := false, UseProgTime := false, AssocTag3 := ""AlarmRC[1]"", AssocTag4 := ""mMachineUDT.CRID"")"
ALMMSG:en-US,Depositor,Depositor_OverWeightAlarm,"Overweight or Duplicated products have been detected",,"AM"
TAG,Depositor,Depositor_PressureAlarm,"Depositor Pressure Alarm","ALARM_ANALOG","","(ExternalAccess := Read/Write, EnableIn := true, InFault := false, HHEnabled := false, HEnabled := false, LEnabled := true, LLEnabled := false, AckRequired := true, ProgAckAll := false, OperAckAll := false, HHProgAck := false, HHOperAck := false, HProgAck := false, HOperAck := false, LProgAck := false, LOperAck := false, LLProgAck := false, LLOperAck := false, ROCPosProgAck := false, ROCPosOperAck := false, ROCNegProgAck := false, ROCNegOperAck := false, ProgSuppress := false, OperSuppress := false, ProgUnsuppress := false, OperUnsuppress := false, HHOperShelve := false, HOperShelve := false, LOperShelve := false, LLOperShelve := false, ROCPosOperShelve := false, ROCNegOperShelve := false, ProgUnshelveAll := false, HHOperUnshelve := false, HOperUnshelve := false, LOperUnshelve := false, LLOperUnshelve := false, ROCPosOperUnshelve := false, ROCNegOperUnshelve := false, ProgDisable := false, OperDisable := false, ProgEnable := false, OperEnable := false, AlarmCountReset := false, HHMinDurationEnable := true, HMinDurationEnable := true, LMinDurationEnable := true, LLMinDurationEnable := true, In := 72.00003, HHLimit := 0.0, HHSeverity := 500, HLimit := 0.0, HSeverity := 500, LLimit := 45.0, LSeverity := 500, LLLimit := 0.0, LLSeverity := 500, MinDurationPRE := 0, ShelveDuration := 0, MaxShelveDuration := 0, Deadband := 0.0, ROCPosLimit := 0.0, ROCPosSeverity := 500, ROCNegLimit := 0.0, ROCNegSeverity := 500, ROCPeriod := 0.0, AssocTag3 := ""AlarmRC[0]"", AssocTag4 := ""mMachineUDT.CRID"")"
ALMMSG:en-US,Depositor,Depositor_PressureAlarm,"Depositor Pressure alarm LOW : /*N:5 %LimitValue NOFILL DP:1*/",,"L"
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
TAG,Loader,AlarmRC,"Alarm Reason Codes","DINT[10]","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,Alarm_Control,"Alarm Control Word","DINT[10]","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
COMMENT,Loader,Alarm_Control,"Tray Loader Temperature Alarm Enable",,"Alarm_Control[0].0"
COMMENT,Loader,Alarm_Control,"Tray Loader Temperature Alarm",,"Alarm_Control[0].1"
COMMENT,Loader,Alarm_Control,"Tray Loader Temperature Alarm Reset Button could be on HMI",,"Alarm_Control[0].2"
COMMENT,Loader,Alarm_Control,"Top Alarm Button$Nfrom HMI",,"Alarm_Control[0].3"
COMMENT,Loader,Alarm_Control,"Tray Loader Metal Detected Alarm$NRequest$NThis is set by the HMI",,"Alarm_Control[1].0"
COMMENT,Loader,Alarm_Control,"Tray Loader Metal Detected Alarm",,"Alarm_Control[1].1"
COMMENT,Loader,Alarm_Control,"Tray Loader Metal Detected Alarm Reset from HMI",,"Alarm_Control[1].2"
COMMENT,Loader,Alarm_Control,"HMI 2nd Alarm$NOption Button",,"Alarm_Control[1].3"
COMMENT,Loader,Alarm_Control,"Loader Missing Tray Alarm Enable",,"Alarm_Control[2].0"
COMMENT,Loader,Alarm_Control,"Loader Missing Tray Alarm$NScrap",,"Alarm_Control[2].1"
COMMENT,Loader,Alarm_Control,"Loader Missing Tray Alarm Reset from HMI",,"Alarm_Control[2].2"
COMMENT,Loader,Alarm_Control,"HMI 3rd Alarm$NOption Button",,"Alarm_Control[2].3"
COMMENT,Loader,Alarm_Control,"Loader Jaw Jam$NThis is set by the HMI",,"Alarm_Control[3].0"
COMMENT,Loader,Alarm_Control,"Loader Jaw Jam Alarm",,"Alarm_Control[3].1"
COMMENT,Loader,Alarm_Control,"Loader Jaw Jam Alarm$NReset Button could be on HMI",,"Alarm_Control[3].2"
COMMENT,Loader,Alarm_Control,"HMI 4th Alarm$NOption Button",,"Alarm_Control[3].3"
COMMENT,Loader,Alarm_Control,"Machine Fault$NSet by HMI",,"Alarm_Control[9].0"
COMMENT,Loader,Alarm_Control,"Machine Fault",,"Alarm_Control[9].1"
COMMENT,Loader,Alarm_Control,"Machine Fault Reset",,"Alarm_Control[9].2"
TAG,Loader,Ambient,"Amient Temperature - Degrees F of course$Nmore accurate than degrees C","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,AR,"Random Interm Value","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,ARB,"Random Interm Value","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,BTUs,"","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,cp,"Control Factor on how fast we change the Oven Zone Temperatures the larger the number the quicker the rise and fall of the temperature","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,cp_therm,"","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,CycleTime,"","Base_CycleTime","","(Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,CycleTimeValid_Timer,"","TIMER","","(Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,EnergyDataTimer,"Energy Unit Signal Delay Timer","TIMER","","(Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,EnergySignal,"Energy Unit Valid Consume Data","TIMER","","(Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,FAULT,"","DINT[11]","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
COMMENT,Loader,FAULT,"Time Stamp 1 of 2",,"FAULT[0]"
COMMENT,Loader,FAULT,"Time Stamp 2 of 2",,"FAULT[1]"
COMMENT,Loader,FAULT,"Lower 16 bits$NFault Type$NUpper 16 bits$NFault Code",,"FAULT[2]"
TAG,Loader,FaultHoldSpeed,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,FaultReasonCode,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,FAULT_Code,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,FAULT_RESET,"","DINT[11]","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,FAULT_Type,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,LAST_ScanTime_us,"Last Scan Time in microseconds","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,LAST_WD_TS,"","Base_WD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,LGHCounter,"","COUNTER","","(Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,LGHTimer,"LGH Step 1 Timer","TIMER","","(Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,LoaderVFD,"","LB_VFD_Ramp","","(Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,LoaderVFD_REQ,"","Base_VFD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,mControl,"Control Word","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
COMMENT,Loader,mControl,"Machine UDT Step String Update String",,"mControl.0"
COMMENT,Loader,mControl,"Signal Energy Storage",,"mControl.4"
COMMENT,Loader,mControl,"We DONT have an Alarm",,"mControl.6"
COMMENT,Loader,mControl,"Cycle Complete$NCheck for Starve Condition",,"mControl.7"
COMMENT,Loader,mControl,"Run Next Cycle",,"mControl.8"
COMMENT,Loader,mControl,"One-Shot Control Bit",,"mControl.13"
COMMENT,Loader,mControl,"Idle Mode",,"mControl.14"
COMMENT,Loader,mControl,"Manual Set$NStarve Condition",,"mControl.15"
COMMENT,Loader,mControl,"Enable AutoStart First Scan",,"mControl.16"
COMMENT,Loader,mControl,"AutoStart first Scan",,"mControl.17"
COMMENT,Loader,mControl,"Scrap$NAlarm Present",,"mControl.18"
COMMENT,Loader,mControl,"Block Line Update$NBatchID",,"mControl.19"
COMMENT,Loader,mControl,"Machine Running",,"mControl.20"
COMMENT,Loader,mControl,"Machine Available",,"mControl.21"
COMMENT,Loader,mControl,"Set BatchID$NTo$NNOBatchID",,"mControl.22"
COMMENT,Loader,mControl,"One-Shot Control Bit",,"mControl.23"
COMMENT,Loader,mControl,"One-Shot Control Bit",,"mControl.24"
COMMENT,Loader,mControl,"Reset Button$NMust be in Single Cycle Mode",,"mControl.25"
COMMENT,Loader,mControl,"Start$NUse this for One-Shot Start Button",,"mControl.26"
COMMENT,Loader,mControl,"One-Shot Control Bit",,"mControl.27"
COMMENT,Loader,mControl,"Stop Machine",,"mControl.28"
COMMENT,Loader,mControl,"Actual Start Button",,"mControl.29"
COMMENT,Loader,mControl,"Auto Mode",,"mControl.30"
COMMENT,Loader,mControl,"Single Cycle",,"mControl.31"
TAG,Loader,mControl1,"Control Word","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
COMMENT,Loader,mControl1,"Deep Reset",,"mControl1.12"
COMMENT,Loader,mControl1,"RA_AssetData1",,"mControl1.21"
COMMENT,Loader,mControl1,"RA_AssetData2",,"mControl1.22"
TAG,Loader,mCT,"Snapshot CycleTime","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,mCycleCount,"Machine Cycle Count","COUNTER","","(Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,mCycleTimer,"Overall Cycle time Timer -","TIMER","","(Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,mDemandHold,"","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,mDemandStart,"Demand kWh Starting Value","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,mDemandTimer,"Demand Timer","TIMER","","(Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,mEnergy,"Mixer","Base_Unit_Energy","","(Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,mEnergyTransferIN,"","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,mEnergyTransferOUT,"","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,mEnergy_Storage,"","Base_Unit_Energy","","(Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,mGoodPartODO,"Good Part Odometer","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,mGoodParts,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,mIdealCycleTime,"Ideal Cycle Time$NSeconds per Part","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,mInLoaderSetPoint,"Internal Sim Zone Set Point","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,mInLoaderTemp,"Internal Sim Zone Temp","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,mInLoaderZone,"Internal Sim InZone","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,mLGHFault,"","Base_LGH_Mode","","(Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,mLoaderDemand,"Loader Demand per Minute","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,mLoaderElect,"","Energy_Electric_Analog","","(Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,mLoaderJawJamAlarm_Timer,"Tray Loader Jaw Jam Alarm Timer","TIMER","","(Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,mLoaderKWh,"","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,mLoaderMetalDetectionAlarm_Timer,"Tray Loader Metal Detector Alarm Timer","TIMER","","(Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,mLoaderMissingTrayAlarm_Timer,"Tray Loader Missing Tray Alarm Timer","TIMER","","(Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,mLoaderTempAlarm_Timer,"Tray Loader Jaw Temperature Alarm Timer","TIMER","","(Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,mLoaderTrayStorage,"Loader Tray Storage","Base_StorageLOC","","(Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,mLoader_BEO_EE,"Loader BEO CIP Energy UDT","BEO","","(Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,mLoader_JawTemp,"Loader Jaw Temperrature","Base_Temp_Zone","","(Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,mLoader_Mode,"","Base_Sim","","(Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,mMachineUDT,"","MachineUDT","","(Constant := false, ExternalAccess := Read/Write)"
COMMENT,Loader,mMachineUDT,"Machine ID intended to be Machine 1 Line 1 Plant 12",,"mMachineUDT.MACHINEID"
COMMENT,Loader,mMachineUDT,"BatchID Not assured to be Unique - use the CRID for uniqueness",,"mMachineUDT.BATCHID"
COMMENT,Loader,mMachineUDT,"This contains the CreateID for the Batch - Generated in the Controller -",,"mMachineUDT.CRID"
COMMENT,Loader,mMachineUDT,"This contains the Product Code - also considered the Receipe Name",,"mMachineUDT.PRODUCTCODE"
COMMENT,Loader,mMachineUDT,"This contains the units per Mix that the Receipe produces -i.e. Final Product Count",,"mMachineUDT.UNITPERMIX"
COMMENT,Loader,mMachineUDT,"Machine Step Number",,"mMachineUDT.MACHINESTEP"
COMMENT,Loader,mMachineUDT,"This is the BatchActive Boolean On>Active$NOff>InActive",,"mMachineUDT.MACHINEACTIVE"
COMMENT,Loader,mMachineUDT,"This contains the String that Defines the Step Operation",,"mMachineUDT.MACHINESTEPSTRING"
COMMENT,Loader,mMachineUDT,"This contains the KWh for the Mix",,"mMachineUDT.ENERGY"
COMMENT,Loader,mMachineUDT,"Loading$NReady To$NAccept",,"mMachineUDT.INTERLOCKS.0"
COMMENT,Loader,mMachineUDT,"Loading$NReady To$NRelease",,"mMachineUDT.INTERLOCKS.1"
COMMENT,Loader,mMachineUDT,"Loading Release In Transition",,"mMachineUDT.INTERLOCKS.2"
COMMENT,Loader,mMachineUDT,"Loader Blocked",,"mMachineUDT.INTERLOCKS.3"
COMMENT,Loader,mMachineUDT,"Loader Starved",,"mMachineUDT.INTERLOCKS.4"
COMMENT,Loader,mMachineUDT,"Cooler to Loader$NTransition",,"mMachineUDT.INTERLOCKS.5"
COMMENT,Loader,mMachineUDT,"Machine is in Cycle",,"mMachineUDT.INTERLOCKS.27"
COMMENT,Loader,mMachineUDT,"Loader Scrap Alarm Exist",,"mMachineUDT.INTERLOCKS.29"
COMMENT,Loader,mMachineUDT,"Loader Auto Mode",,"mMachineUDT.INTERLOCKS.30"
TAG,Loader,MODN,"Random Interm Value","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,mPerf,"","Base_Perform","","(Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,mPerfState_Holding,"Holding Value of Performance State","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,mRA_Asset,"","Base_RA_Asset","","(Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,mRecipeActualProcedure,"Actual Oven Procedure","Base_Temp_Recipe_Procedure","","(Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,mRecipeTargetProcedure,"Target Oven Procedure Recipe","Base_Temp_Recipe_Procedure[5]","","(Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,mRecipeTargetProcedures,"","Base_Recipe_Procedure","","(Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,mScrapParts,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,mShiftGParts,"Shift Good Parts","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,mShiftSParts,"Shift Scrap Parts","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,mShiftTParts,"Shift Total Parts","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,mStackTimer,"","TIMER","","(Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,mStackTipControl,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
COMMENT,Loader,mStackTipControl,"Stack and Tip Sequence Complete",,"mStackTipControl.1"
TAG,Loader,mStack_Count,"","COUNTER","","(Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,mStartEnergy,"This is the energy at the start of the MIX","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,mState,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,mStateFilterDelay,"","TIMER","","(Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,mStepControl,"","StepLogic[10]","","(Constant := false, ExternalAccess := Read/Write)"
COMMENT,Loader,mStepControl,"Start Step 1",,"mStepControl[1].CONTROL.0"
COMMENT,Loader,mStepControl,"Step 1 Active",,"mStepControl[1].CONTROL.1"
COMMENT,Loader,mStepControl,"Step 1 Timer",,"mStepControl[1].INSTEPTIMER"
COMMENT,Loader,mStepControl,"Step 1 Timer$NDone",,"mStepControl[1].INSTEPTIMER.DN"
COMMENT,Loader,mStepControl,"Step 2 Active",,"mStepControl[2].CONTROL.1"
COMMENT,Loader,mStepControl,"Step 2 Timer",,"mStepControl[2].INSTEPTIMER"
COMMENT,Loader,mStepControl,"Step 2 Timer$NDone",,"mStepControl[2].INSTEPTIMER.DN"
COMMENT,Loader,mStepControl,"Step 3 Active",,"mStepControl[3].CONTROL.1"
COMMENT,Loader,mStepControl,"Step 3 Timer",,"mStepControl[3].INSTEPTIMER"
COMMENT,Loader,mStepControl,"Step 3 Timer$NDone",,"mStepControl[3].INSTEPTIMER.DN"
COMMENT,Loader,mStepControl,"Step 4 Active",,"mStepControl[4].CONTROL.1"
COMMENT,Loader,mStepControl,"Step 4 Timer",,"mStepControl[4].INSTEPTIMER"
COMMENT,Loader,mStepControl,"Step 4 Timer$NDone",,"mStepControl[4].INSTEPTIMER.DN"
COMMENT,Loader,mStepControl,"Step 5 Active",,"mStepControl[5].CONTROL.1"
COMMENT,Loader,mStepControl,"Step 5 Timer",,"mStepControl[5].INSTEPTIMER"
COMMENT,Loader,mStepControl,"Step 5 Timer$NDone",,"mStepControl[5].INSTEPTIMER.DN"
COMMENT,Loader,mStepControl,"Step 6 Active",,"mStepControl[6].CONTROL.1"
COMMENT,Loader,mStepControl,"Step 6 Timer",,"mStepControl[6].INSTEPTIMER"
COMMENT,Loader,mStepControl,"Step 6 Timer$NDone",,"mStepControl[6].INSTEPTIMER.DN"
COMMENT,Loader,mStepControl,"Step 7 Active",,"mStepControl[7].CONTROL.1"
COMMENT,Loader,mStepControl,"Step 7 Timer",,"mStepControl[7].INSTEPTIMER"
COMMENT,Loader,mStepControl,"Step 7 Timer$NDone",,"mStepControl[7].INSTEPTIMER.DN"
COMMENT,Loader,mStepControl,"Step 8 Active",,"mStepControl[8].CONTROL.1"
COMMENT,Loader,mStepControl,"Step 8 Timer",,"mStepControl[8].INSTEPTIMER"
COMMENT,Loader,mStepControl,"Step 8 Timer$NDone",,"mStepControl[8].INSTEPTIMER.DN"
COMMENT,Loader,mStepControl,"Step 9 Active",,"mStepControl[9].CONTROL.1"
COMMENT,Loader,mStepControl,"Step 9 Timer",,"mStepControl[9].INSTEPTIMER"
COMMENT,Loader,mStepControl,"Step 9 Timer$NDone",,"mStepControl[9].INSTEPTIMER.DN"
TAG,Loader,mStepEnergy,"","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,mTipTimer,"","TIMER","","(Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,mTip_Count,"","COUNTER","","(Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,mTotalPartODO,"Total Part Odometer","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,mTotalParts,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,mTransfer_Energy,"This is the energy constants used for electrical usage","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,mWorkcell,"Loader Workcell","FTM_Workcell","","(Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,PerCentLoad,"","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,ProdID_Energy,"Transfer Energy by ProductID","REAL[5]","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,R,"Random Interm Value","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,RANDOM,"Random Number < 1","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,RANDOM1M,"1 Minus Random/10","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,RANDOM1P,"1 Plus Random/10","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,RANDOMP1,"Random /10","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,Recipe_IdealCT,"","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,Transfer_Gap,"Used for Separation of Machine function","TIMER","","(Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,WD_Counter,"WatchDog Counter","COUNTER","","(Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,WD_HIST,"","Base_WD[10]","","(Constant := false, ExternalAccess := Read/Write)"
TAG,Loader,TW_JawJam_Alarm,"Tray Loader Jaws are Jammed Alarm","ALARM_DIGITAL","","(ExternalAccess := Read/Write, Severity := 500, MinDurationPRE := 0, ShelveDuration := 0, MaxShelveDuration := 0, ProgTime := ""DT#1969-12-31-16:00:00.000_000(UTC-08:00)"", EnableIn := false, In := false, InFault := false, Condition := true, AckRequired := true, Latched := false, ProgAck := false, OperAck := false, ProgReset := false, OperReset := false, ProgSuppress := false, OperSuppress := false, ProgUnsuppress := false, OperUnsuppress := false, OperShelve := false, ProgUnshelve := false, OperUnshelve := false, ProgDisable := false, OperDisable := false, ProgEnable := false, OperEnable := false, AlarmCountReset := false, UseProgTime := false, AssocTag3 := ""AlarmRC[3]"", AssocTag4 := ""mMachineUDT.CRID"")"
ALMMSG:en-US,Loader,TW_JawJam_Alarm,"Tray Loader - Jaws are jammed Alarm.",,"AM"
